human,machine
nov 23 1993,1993-11-23
may 20 1990,1990-05-20
29 jun 1991,1991-06-29
thursday november 2 1972,1972-11-02
monday march 12 2012,2012-03-12
monday august 18 1980,1980-08-18
19 02 75,1975-02-19
22 jan 1983,1983-01-22
23 oct 2006,2006-10-23
16 apr 1994,1994-04-16
10 aug 2010,2010-08-10
4/22/08,2008-04-22
october 6 1997,1997-10-06
saturday december 2 1972,1972-12-02
24 oct 2010,2010-10-24
5 mar 1982,1982-03-05
tuesday january 29 2002,2002-01-29
friday march 30 2001,2001-03-30
27 jun 2012,2012-06-27
tuesday february 20 2018,2018-02-20
monday august 4 1975,1975-08-04
5/28/89,1989-05-28
06 feb 1997,1997-02-06
03.10.96,1996-10-03
sunday november 27 2016,2016-11-27
2 april 1997,1997-04-02
9/5/00,2000-09-05
monday july 6 1981,1981-07-06
18 march 2016,2016-03-18
20 may 1982,1982-05-20
6/8/88,1988-06-08
wednesday july 17 1985,1985-07-17
16 04 17,2017-04-16
7 march 1988,1988-03-07
january 24 1997,1997-01-24
tuesday september 2 1997,1997-09-02
may 26 1984,1984-05-26
05 jul 1979,1979-07-05
27 jun 2018,2018-06-27
sunday december 29 2002,2002-12-29
tuesday january 23 2018,2018-01-23
monday august 13 2012,2012-08-13
25 oct 2011,2011-10-25
march 31 2003,2003-03-31
monday february 13 1978,1978-02-13
11 jan 2016,2016-01-11
07 aug 1999,1999-08-07
28 sep 2007,2007-09-28
thursday april 29 1999,1999-04-29
saturday july 3 2010,2010-07-03
03 sep 1992,1992-09-03
jun 18 1974,1974-06-18
friday april 7 1972,1972-04-07
9/2/09,2009-09-02
18 aug 1985,1985-08-18
saturday march 31 1984,1984-03-31
friday april 6 1984,1984-04-06
monday october 25 2010,2010-10-25
saturday august 19 1972,1972-08-19
23 dec 2001,2001-12-23
may 6 2005,2005-05-06
10 november 1977,1977-11-10
wednesday may 13 1992,1992-05-13
tuesday september 16 1997,1997-09-16
wednesday march 2 1977,1977-03-02
10 01 81,1981-01-10
monday april 12 2010,2010-04-12
23 sep 1974,1974-09-23
monday march 31 1975,1975-03-31
july 3 2014,2014-07-03
26 may 1976,1976-05-26
12 october 1972,1972-10-12
25 mar 2013,2013-03-25
01 feb 2013,2013-02-01
26 02 95,1995-02-26
friday may 8 1970,1970-05-08
aug 8 1984,1984-08-08
sunday april 12 1992,1992-04-12
thursday may 17 2007,2007-05-17
sunday january 23 2011,2011-01-23
26 sep 1998,1998-09-26
06 may 2012,2012-05-06
17 october 1974,1974-10-17
friday august 26 1977,1977-08-26
july 3 1993,1993-07-03
monday august 2 1982,1982-08-02
11 feb 1987,1987-02-11
jul 4 2001,2001-07-04
wednesday june 1 2011,2011-06-01
tuesday july 26 2011,2011-07-26
monday april 5 1982,1982-04-05
tuesday december 24 1991,1991-12-24
2 may 1977,1977-05-02
4 august 1992,1992-08-04
monday april 27 1992,1992-04-27
october 15 1985,1985-10-15
may 4 2016,2016-05-04
july 18 2004,2004-07-18
monday october 6 2003,2003-10-06
6 04 17,2017-04-06
saturday october 10 2009,2009-10-10
apr 5 1985,1985-04-05
12/26/85,1985-12-26
june 6 1995,1995-06-06
27 02 99,1999-02-27
saturday january 8 1983,1983-01-08
friday february 26 2010,2010-02-26
thursday august 13 1970,1970-08-13
25 06 85,1985-06-25
tuesday june 18 1996,1996-06-18
tuesday july 28 2015,2015-07-28
friday may 30 2014,2014-05-30
tuesday march 31 1970,1970-03-31
3 10 84,1984-10-03
friday june 24 1983,1983-06-24
27.06.92,1992-06-27
20 11 08,2008-11-20
14 august 1992,1992-08-14
thursday december 1 2005,2005-12-01
thursday may 28 2015,2015-05-28
15 12 16,2016-12-15
wednesday january 30 2013,2013-01-30
thursday february 17 1994,1994-02-17
13 november 1985,1985-11-13
2 june 2003,2003-06-02
thursday july 28 1994,1994-07-28
15 november 2014,2014-11-15
wednesday august 29 2012,2012-08-29
15.06.14,2014-06-15
9/24/17,2017-09-24
tuesday december 20 2011,2011-12-20
friday august 1 1986,1986-08-01
friday april 30 1976,1976-04-30
october 3 1980,1980-10-03
15 december 1971,1971-12-15
saturday april 22 1995,1995-04-22
tuesday june 21 1994,1994-06-21
tuesday april 15 1986,1986-04-15
tuesday december 21 1982,1982-12-21
8/5/76,1976-08-05
tuesday november 15 2005,2005-11-15
sunday february 3 1985,1985-02-03
thursday february 3 1994,1994-02-03
2/11/10,2010-02-11
wednesday august 22 1984,1984-08-22
thursday january 12 1995,1995-01-12
august 22 2018,2018-08-22
28 sep 2001,2001-09-28
18 march 1978,1978-03-18
mar 26 2012,2012-03-26
sunday august 1 2004,2004-08-01
26.06.74,1974-06-26
11 november 1995,1995-11-11
24 09 05,2005-09-24
friday august 4 1978,1978-08-04
17 jun 2009,2009-06-17
22 october 1992,1992-10-22
08.11.97,1997-11-08
friday november 1 1974,1974-11-01
14 march 1977,1977-03-14
march 16 1984,1984-03-16
saturday april 30 1977,1977-04-30
may 13 2004,2004-05-13
15 february 1990,1990-02-15
26 october 2015,2015-10-26
sunday january 3 1999,1999-01-03
feb 6 1991,1991-02-06
sunday april 14 2002,2002-04-14
sunday october 30 2005,2005-10-30
november 18 2011,2011-11-18
11 march 1982,1982-03-11
friday november 30 1984,1984-11-30
sunday december 9 2012,2012-12-09
wednesday october 4 1989,1989-10-04
august 13 1987,1987-08-13
november 19 1974,1974-11-19
monday december 24 2001,2001-12-24
monday october 7 1974,1974-10-07
26 jan 1989,1989-01-26
march 6 1983,1983-03-06
dec 8 2003,2003-12-08
june 24 1992,1992-06-24
30 sep 1973,1973-09-30
friday may 26 1978,1978-05-26
thursday january 8 1987,1987-01-08
monday may 6 2002,2002-05-06
2 december 2009,2009-12-02
thursday february 26 1987,1987-02-26
friday may 17 1985,1985-05-17
saturday november 24 2007,2007-11-24
24 september 1974,1974-09-24
9 november 1999,1999-11-09
tuesday december 31 1974,1974-12-31
4 october 2005,2005-10-04
12 oct 1973,1973-10-12
8 jan 1988,1988-01-08
sunday december 19 1999,1999-12-19
tuesday february 10 1981,1981-02-10
thursday november 22 1984,1984-11-22
19.03.18,2018-03-19
friday may 24 1985,1985-05-24
3/19/70,1970-03-19
monday march 17 2003,2003-03-17
monday february 24 1992,1992-02-24
september 18 1992,1992-09-18
october 23 2012,2012-10-23
23 mar 1975,1975-03-23
march 11 2007,2007-03-11
wednesday march 25 1992,1992-03-25
wednesday december 1 1999,1999-12-01
friday july 23 2004,2004-07-23
monday november 23 1981,1981-11-23
23.07.81,1981-07-23
friday august 11 2017,2017-08-11
30 apr 2016,2016-04-30
9 01 82,1982-01-09
thursday october 8 1970,1970-10-08
11 january 1998,1998-01-11
june 28 1981,1981-06-28
17 oct 1988,1988-10-17
22.08.78,1978-08-22
2/19/05,2005-02-19
16 jun 2014,2014-06-16
november 18 2010,2010-11-18
monday august 8 1994,1994-08-08
05.12.70,1970-12-05
sunday may 15 2016,2016-05-15
june 21 1973,1973-06-21
monday december 14 1992,1992-12-14
saturday november 14 1987,1987-11-14
tuesday june 4 2002,2002-06-04
monday september 18 1989,1989-09-18
22 september 2017,2017-09-22
saturday june 14 2014,2014-06-14
27 february 1991,1991-02-27
25 may 2013,2013-05-25
20 oct 1998,1998-10-20
april 18 2004,2004-04-18
wednesday october 2 1996,1996-10-02
monday october 7 1985,1985-10-07
friday june 3 1983,1983-06-03
24 july 2005,2005-07-24
saturday april 13 1985,1985-04-13
friday september 3 2004,2004-09-03
wednesday september 23 2015,2015-09-23
19 july 2015,2015-07-19
5 sep 1973,1973-09-05
9 may 2017,2017-05-09
24 jan 1996,1996-01-24
monday october 10 1983,1983-10-10
15 jun 2001,2001-06-15
june 14 2002,2002-06-14
1 august 1995,1995-08-01
09.12.79,1979-12-09
wednesday july 16 1975,1975-07-16
tuesday december 5 2017,2017-12-05
9 june 2003,2003-06-09
tuesday may 16 1972,1972-05-16
8 dec 1976,1976-12-08
18 mar 1997,1997-03-18
20 oct 1979,1979-10-20
23 september 1992,1992-09-23
25 may 1986,1986-05-25
december 29 2000,2000-12-29
8 01 74,1974-01-08
thursday january 29 1981,1981-01-29
june 11 1985,1985-06-11
22 02 08,2008-02-22
19 august 1999,1999-08-19
mar 10 1975,1975-03-10
sunday june 8 1997,1997-06-08
monday november 24 1975,1975-11-24
sep 30 1973,1973-09-30
wednesday april 3 2002,2002-04-03
06 nov 2002,2002-11-06
friday december 4 1992,1992-12-04
november 26 2017,2017-11-26
29 march 1988,1988-03-29
friday august 24 1990,1990-08-24
06.01.70,1970-01-06
04 nov 2002,2002-11-04
monday october 3 1988,1988-10-03
6 12 76,1976-12-06
monday may 7 2001,2001-05-07
22 may 1971,1971-05-22
31 may 2017,2017-05-31
sunday october 24 2010,2010-10-24
22 aug 1988,1988-08-22
monday october 27 2014,2014-10-27
31 may 1980,1980-05-31
19 october 1972,1972-10-19
sunday july 4 1976,1976-07-04
13 may 1972,1972-05-13
1/13/79,1979-01-13
thursday march 23 2006,2006-03-23
10/10/84,1984-10-10
monday october 26 1970,1970-10-26
5 may 1980,1980-05-05
october 28 1988,1988-10-28
march 27 1986,1986-03-27
11.01.84,1984-01-11
17 september 2003,2003-09-17
october 17 2003,2003-10-17
friday november 9 1979,1979-11-09
5/24/17,2017-05-24
saturday april 3 1976,1976-04-03
october 11 1976,1976-10-11
monday august 14 1989,1989-08-14
august 27 1988,1988-08-27
monday june 19 1972,1972-06-19
10 apr 1997,1997-04-10
sunday february 19 1984,1984-02-19
08 apr 1972,1972-04-08
monday september 20 1999,1999-09-20
thursday april 30 1998,1998-04-30
thursday september 24 1998,1998-09-24
monday january 12 1976,1976-01-12
friday august 5 1988,1988-08-05
wednesday august 7 1996,1996-08-07
19 oct 2015,2015-10-19
sunday april 13 1997,1997-04-13
april 2 2015,2015-04-02
17 aug 2007,2007-08-17
12 nov 1970,1970-11-12
17 sep 1974,1974-09-17
september 19 2016,2016-09-19
14 10 73,1973-10-14
thursday may 18 1972,1972-05-18
28 mar 1991,1991-03-28
may 12 1978,1978-05-12
friday august 3 1990,1990-08-03
18 june 1982,1982-06-18
2/24/75,1975-02-24
tuesday march 14 2000,2000-03-14
monday september 13 1976,1976-09-13
17 oct 1998,1998-10-17
sunday october 4 1981,1981-10-04
11 jul 1977,1977-07-11
april 19 2008,2008-04-19
5 november 2015,2015-11-05
23 june 1972,1972-06-23
11 oct 2007,2007-10-11
22.07.12,2012-07-22
thursday january 24 2002,2002-01-24
8/27/10,2010-08-27
24 february 1970,1970-02-24
saturday may 22 1976,1976-05-22
monday january 6 1992,1992-01-06
wednesday march 3 2004,2004-03-03
sunday december 24 1989,1989-12-24
friday january 3 1997,1997-01-03
17.05.08,2008-05-17
23.07.93,1993-07-23
26 dec 2017,2017-12-26
wednesday august 16 1972,1972-08-16
8 oct 1971,1971-10-08
monday december 9 1985,1985-12-09
25 march 1970,1970-03-25
28 july 2010,2010-07-28
monday november 18 1996,1996-11-18
28 jun 2006,2006-06-28
saturday november 9 1991,1991-11-09
20 jun 1976,1976-06-20
jun 28 2009,2009-06-28
monday february 20 2006,2006-02-20
tuesday may 16 2017,2017-05-16
22.10.71,1971-10-22
monday april 22 1974,1974-04-22
friday july 10 1998,1998-07-10
20 may 2009,2009-05-20
december 16 1992,1992-12-16
26.01.13,2013-01-26
06.02.01,2001-02-06
monday september 20 2004,2004-09-20
28 mar 2001,2001-03-28
saturday november 14 1998,1998-11-14
thursday october 19 2006,2006-10-19
23 04 98,1998-04-23
25 may 1978,1978-05-25
wednesday february 20 1985,1985-02-20
saturday december 13 1986,1986-12-13
friday september 16 1994,1994-09-16
5 feb 1989,1989-02-05
26 november 2008,2008-11-26
09.11.00,2000-11-09
5 january 1992,1992-01-05
tuesday september 28 1976,1976-09-28
1 march 2000,2000-03-01
11/29/78,1978-11-29
1/21/86,1986-01-21
monday january 9 1995,1995-01-09
thursday september 20 1973,1973-09-20
27 jan 2006,2006-01-27
saturday april 30 1983,1983-04-30
25 november 1980,1980-11-25
november 2 1974,1974-11-02
27.10.76,1976-10-27
18 dec 2002,2002-12-18
saturday march 23 1991,1991-03-23
thursday february 20 1992,1992-02-20
wednesday october 28 1970,1970-10-28
14.10.98,1998-10-14
9/16/16,2016-09-16
11 aug 2006,2006-08-11
monday september 30 2002,2002-09-30
july 10 1988,1988-07-10
14.07.84,1984-07-14
2 jan 1992,1992-01-02
tuesday october 4 2005,2005-10-04
tuesday august 31 1999,1999-08-31
29 11 11,2011-11-29
27 may 1989,1989-05-27
friday march 23 1979,1979-03-23
03.10.14,2014-10-03
wednesday february 23 1994,1994-02-23
thursday may 17 1973,1973-05-17
saturday december 7 2002,2002-12-07
9 june 2003,2003-06-09
sunday july 17 1994,1994-07-17
mar 26 1993,1993-03-26
friday december 2 1977,1977-12-02
06 jul 1993,1993-07-06
5 aug 2015,2015-08-05
thursday november 9 2017,2017-11-09
sunday february 27 1994,1994-02-27
friday june 1 2018,2018-06-01
02 feb 2010,2010-02-02
december 25 1971,1971-12-25
monday august 19 1996,1996-08-19
friday april 25 1980,1980-04-25
23 nov 1983,1983-11-23
10.01.91,1991-01-10
wednesday july 31 1996,1996-07-31
december 4 1992,1992-12-04
august 22 1995,1995-08-22
19 mar 2014,2014-03-19
may 12 1990,1990-05-12
14 november 2001,2001-11-14
11 mar 1982,1982-03-11
wednesday december 31 1986,1986-12-31
march 16 1981,1981-03-16
monday january 5 2009,2009-01-05
aug 28 1971,1971-08-28
sep 2 2009,2009-09-02
16 may 1991,1991-05-16
7 may 1989,1989-05-07
september 24 1981,1981-09-24
friday december 16 1994,1994-12-16
sunday may 27 2001,2001-05-27
friday june 30 1989,1989-06-30
june 11 2009,2009-06-11
30 jul 1997,1997-07-30
sunday july 27 1975,1975-07-27
saturday october 27 2001,2001-10-27
friday january 28 1983,1983-01-28
10/14/85,1985-10-14
20.05.75,1975-05-20
8/27/11,2011-08-27
june 26 1978,1978-06-26
20 january 2008,2008-01-20
23 november 2011,2011-11-23
monday march 16 1970,1970-03-16
friday january 22 2016,2016-01-22
monday january 12 1987,1987-01-12
september 24 1975,1975-09-24
tuesday january 12 1971,1971-01-12
wednesday may 29 1985,1985-05-29
november 20 1979,1979-11-20
2 november 1984,1984-11-02
thursday november 17 2011,2011-11-17
thursday august 10 1989,1989-08-10
21 september 1980,1980-09-21
9 february 2008,2008-02-09
saturday june 23 1990,1990-06-23
sunday april 10 1994,1994-04-10
sunday december 3 2000,2000-12-03
17.05.75,1975-05-17
25 jun 1998,1998-06-25
18 11 72,1972-11-18
29.12.92,1992-12-29
10/23/82,1982-10-23
sunday june 18 2006,2006-06-18
20 jan 2009,2009-01-20
6 nov 2013,2013-11-06
21.08.84,1984-08-21
april 3 1975,1975-04-03
june 5 1999,1999-06-05
saturday march 11 1972,1972-03-11
monday december 19 1977,1977-12-19
27 july 2015,2015-07-27
friday may 11 1979,1979-05-11
monday july 20 1992,1992-07-20
2 09 84,1984-09-02
17 may 1995,1995-05-17
16 mar 1974,1974-03-16
tuesday january 12 1993,1993-01-12
10 apr 1990,1990-04-10
september 16 2014,2014-09-16
23 dec 1976,1976-12-23
wednesday january 9 2002,2002-01-09
thursday april 20 1972,1972-04-20
saturday september 3 2016,2016-09-03
september 17 1998,1998-09-17
tuesday may 26 1992,1992-05-26
1 january 2018,2018-01-01
13 august 1992,1992-08-13
saturday january 18 2003,2003-01-18
tuesday april 17 2007,2007-04-17
01 aug 1998,1998-08-01
25 sep 2000,2000-09-25
19 february 2009,2009-02-19
oct 8 1990,1990-10-08
26 sep 1979,1979-09-26
08.02.97,1997-02-08
saturday july 4 1992,1992-07-04
saturday november 6 2004,2004-11-06
september 1 2016,2016-09-01
saturday january 20 1973,1973-01-20
24 sep 1991,1991-09-24
monday july 11 2016,2016-07-11
4 sep 1977,1977-09-04
saturday march 10 2001,2001-03-10
june 17 2014,2014-06-17
11 dec 1972,1972-12-11
sunday september 10 2017,2017-09-10
november 24 1978,1978-11-24
01 oct 2000,2000-10-01
6 may 1996,1996-05-06
saturday september 14 1974,1974-09-14
aug 6 2016,2016-08-06
friday june 6 2008,2008-06-06
tuesday march 17 1981,1981-03-17
29 may 2005,2005-05-29
friday august 16 1974,1974-08-16
9 may 1976,1976-05-09
18 june 1996,1996-06-18
26 march 2000,2000-03-26
4/22/87,1987-04-22
tuesday april 23 1996,1996-04-23
18 oct 1980,1980-10-18
21 september 2001,2001-09-21
thursday october 8 2015,2015-10-08
march 20 1999,1999-03-20
saturday march 25 1995,1995-03-25
thursday november 11 1982,1982-11-11
24 apr 2005,2005-04-24
thursday february 26 1981,1981-02-26
24 october 1977,1977-10-24
17 march 1977,1977-03-17
saturday june 24 1978,1978-06-24
friday november 6 1981,1981-11-06
sunday june 29 1997,1997-06-29
april 21 2004,2004-04-21
march 11 1995,1995-03-11
august 3 2014,2014-08-03
4 april 1976,1976-04-04
february 16 1986,1986-02-16
wednesday july 17 2002,2002-07-17
6/4/11,2011-06-04
tuesday november 17 2015,2015-11-17
august 24 1988,1988-08-24
26 03 13,2013-03-26
20 feb 1977,1977-02-20
sunday december 30 1990,1990-12-30
wednesday november 6 1974,1974-11-06
saturday june 7 2014,2014-06-07
nov 29 1973,1973-11-29
wednesday november 26 2014,2014-11-26
23 december 1979,1979-12-23
tuesday january 23 2001,2001-01-23
may 29 2011,2011-05-29
5 oct 2018,2018-10-05
tuesday december 11 1979,1979-12-11
friday may 2 1997,1997-05-02
november 17 1981,1981-11-17
monday june 20 1977,1977-06-20
monday november 22 1982,1982-11-22
november 27 2004,2004-11-27
monday august 12 2013,2013-08-12
friday april 7 1995,1995-04-07
february 15 2009,2009-02-15
sunday december 17 2017,2017-12-17
saturday december 24 1983,1983-12-24
tuesday february 2 1988,1988-02-02
5 may 1980,1980-05-05
22 06 08,2008-06-22
23 mar 2014,2014-03-23
23 february 2011,2011-02-23
13 apr 2000,2000-04-13
06 apr 2016,2016-04-06
26 apr 1972,1972-04-26
mar 23 2003,2003-03-23
friday april 24 1970,1970-04-24
thursday april 20 1995,1995-04-20
friday july 1 2016,2016-07-01
17.09.09,2009-09-17
tuesday august 10 1999,1999-08-10
monday may 13 1985,1985-05-13
sunday august 31 1997,1997-08-31
9/29/10,2010-09-29
saturday december 8 1984,1984-12-08
friday july 4 1997,1997-07-04
monday october 29 2001,2001-10-29
25.08.84,1984-08-25
august 5 2017,2017-08-05
17 may 2003,2003-05-17
16 02 76,1976-02-16
saturday july 29 2017,2017-07-29
thursday july 14 1977,1977-07-14
monday december 21 1992,1992-12-21
monday january 25 2016,2016-01-25
january 4 1995,1995-01-04
28 january 2014,2014-01-28
04 sep 2007,2007-09-04
monday december 16 2002,2002-12-16
31 07 91,1991-07-31
10 september 1971,1971-09-10
may 11 1994,1994-05-11
feb 3 2012,2012-02-03
saturday august 5 2017,2017-08-05
tuesday january 14 1986,1986-01-14
16 04 18,2018-04-16
7 jan 1982,1982-01-07
november 17 2008,2008-11-17
monday july 6 1981,1981-07-06
sunday july 24 1994,1994-07-24
oct 15 2012,2012-10-15
sunday july 12 1987,1987-07-12
october 29 2009,2009-10-29
monday february 20 2012,2012-02-20
friday september 25 1987,1987-09-25
april 4 1987,1987-04-04
tuesday march 9 2010,2010-03-09
thursday october 31 1991,1991-10-31
11 feb 1977,1977-02-11
friday september 24 2004,2004-09-24
friday february 18 1994,1994-02-18
15 jun 1994,1994-06-15
january 5 2014,2014-01-05
saturday october 8 1988,1988-10-08
20 dec 1986,1986-12-20
sunday april 3 1994,1994-04-03
6/12/75,1975-06-12
friday december 17 2004,2004-12-17
2 mar 2005,2005-03-02
28 03 87,1987-03-28
wednesday july 30 1986,1986-07-30
march 31 2016,2016-03-31
12 march 2005,2005-03-12
24 feb 2014,2014-02-24
may 5 2009,2009-05-05
8 april 1973,1973-04-08
jun 14 2015,2015-06-14
9/4/92,1992-09-04
october 3 2005,2005-10-03
saturday march 2 2002,2002-03-02
wednesday may 6 2015,2015-05-06
november 9 2000,2000-11-09
monday january 23 2012,2012-01-23
jul 20 1992,1992-07-20
sunday june 16 2013,2013-06-16
07.06.79,1979-06-07
tuesday may 3 1994,1994-05-03
05 feb 2015,2015-02-05
23 january 2018,2018-01-23
20 may 1971,1971-05-20
4 july 2005,2005-07-04
27 02 15,2015-02-27
monday march 5 2001,2001-03-05
17 feb 1995,1995-02-17
friday march 22 1996,1996-03-22
november 1 2010,2010-11-01
24 jun 2003,2003-06-24
3 apr 1977,1977-04-03
12 september 1986,1986-09-12
thursday october 10 1991,1991-10-10
tuesday august 14 1984,1984-08-14
28 june 1987,1987-06-28
20 jan 1983,1983-01-20
sunday october 4 2009,2009-10-04
15 02 77,1977-02-15
saturday october 21 2000,2000-10-21
30 jun 1973,1973-06-30
24.10.14,2014-10-24
saturday july 14 1973,1973-07-14
14 jul 1980,1980-07-14
sunday march 6 2016,2016-03-06
january 3 2013,2013-01-03
thursday december 8 2005,2005-12-08
30 sep 1971,1971-09-30
monday march 19 2018,2018-03-19
31 dec 1994,1994-12-31
wednesday december 23 1981,1981-12-23
8 april 1981,1981-04-08
apr 21 1993,1993-04-21
tuesday october 23 2012,2012-10-23
19 aug 1984,1984-08-19
25 mar 1970,1970-03-25
28 mar 2003,2003-03-28
monday september 25 2017,2017-09-25
2 march 1996,1996-03-02
thursday october 5 1989,1989-10-05
nov 10 1985,1985-11-10
8 jun 2009,2009-06-08
wednesday january 11 2006,2006-01-11
31 december 1970,1970-12-31
monday december 10 2007,2007-12-10
sunday june 2 2002,2002-06-02
thursday november 28 1991,1991-11-28
tuesday february 5 2013,2013-02-05
24 jul 1992,1992-07-24
26 september 1992,1992-09-26
friday july 2 2004,2004-07-02
19 jan 1990,1990-01-19
25 sep 2004,2004-09-25
april 23 2016,2016-04-23
21.08.18,2018-08-21
8 june 1998,1998-06-08
05 jan 1986,1986-01-05
saturday august 29 1970,1970-08-29
saturday october 8 2011,2011-10-08
sunday march 4 2018,2018-03-04
14 october 2009,2009-10-14
19 june 2015,2015-06-19
may 15 2006,2006-05-15
1 06 77,1977-06-01
6 february 1978,1978-02-06
saturday may 18 1985,1985-05-18
29 aug 2004,2004-08-29
friday september 16 1988,1988-09-16
monday march 30 1981,1981-03-30
tuesday march 3 2009,2009-03-03
6 june 2003,2003-06-06
24 jun 2013,2013-06-24
16.06.17,2017-06-16
september 9 1981,1981-09-09
march 14 2018,2018-03-14
wednesday november 8 1972,1972-11-08
20.09.94,1994-09-20
10 oct 2006,2006-10-10
7 june 2006,2006-06-07
friday september 10 1993,1993-09-10
september 9 2004,2004-09-09
8/28/71,1971-08-28
may 12 1977,1977-05-12
16 dec 1974,1974-12-16
14 jul 1978,1978-07-14
11/17/90,1990-11-17
saturday february 16 1980,1980-02-16
july 20 2017,2017-07-20
7 march 2015,2015-03-07
sunday march 12 1972,1972-03-12
6 jan 1987,1987-01-06
18 aug 2015,2015-08-18
saturday august 15 1981,1981-08-15
11 may 2013,2013-05-11
sunday december 3 2006,2006-12-03
02.08.83,1983-08-02
21 april 1985,1985-04-21
tuesday october 1 2013,2013-10-01
june 1 1992,1992-06-01
aug 2 2009,2009-08-02
november 30 1992,1992-11-30
april 3 2003,2003-04-03
monday january 9 2006,2006-01-09
february 25 1978,1978-02-25
friday september 26 1980,1980-09-26
27.08.70,1970-08-27
sep 28 1996,1996-09-28
friday march 9 2018,2018-03-09
apr 4 1987,1987-04-04
oct 1 2017,2017-10-01
26 02 77,1977-02-26
wednesday december 5 1973,1973-12-05
feb 21 2011,2011-02-21
15.05.85,1985-05-15
wednesday may 3 2000,2000-05-03
saturday february 28 1981,1981-02-28
friday may 25 1979,1979-05-25
7/4/78,1978-07-04
thursday january 6 1994,1994-01-06
9 dec 1983,1983-12-09
saturday november 28 2009,2009-11-28
7 october 1989,1989-10-07
mar 30 1977,1977-03-30
7 july 1979,1979-07-07
thursday august 7 1997,1997-08-07
31 may 1979,1979-05-31
10/5/84,1984-10-05
12 june 2014,2014-06-12
3 december 2008,2008-12-03
15 september 1976,1976-09-15
wednesday june 8 2011,2011-06-08
26 mar 2008,2008-03-26
6 october 2011,2011-10-06
27 jan 1970,1970-01-27
thursday november 9 2000,2000-11-09
tuesday november 8 1977,1977-11-08
sunday may 3 2015,2015-05-03
sunday april 3 2011,2011-04-03
28 sep 1999,1999-09-28
26 mar 2001,2001-03-26
mar 28 1970,1970-03-28
saturday february 24 1990,1990-02-24
jun 4 1977,1977-06-04
friday february 29 2008,2008-02-29
15 may 2018,2018-05-15
24 10 15,2015-10-24
27 january 1993,1993-01-27
03.08.72,1972-08-03
saturday september 3 1977,1977-09-03
16 06 15,2015-06-16
25 may 1974,1974-05-25
saturday december 23 1989,1989-12-23
4/17/06,2006-04-17
12 jun 1977,1977-06-12
20 aug 1972,1972-08-20
thursday june 12 1980,1980-06-12
13 jan 2018,2018-01-13
27 november 1983,1983-11-27
thursday december 11 1986,1986-12-11
25 july 2002,2002-07-25
17 september 2016,2016-09-17
09 nov 1994,1994-11-09
15 nov 2008,2008-11-15
17 july 2009,2009-07-17
15 april 2004,2004-04-15
friday january 28 1977,1977-01-28
1 january 2012,2012-01-01
jun 30 1988,1988-06-30
20 may 1982,1982-05-20
nov 21 1996,1996-11-21
friday june 25 2010,2010-06-25
20.12.01,2001-12-20
monday february 23 2009,2009-02-23
12 january 1977,1977-01-12
november 11 1996,1996-11-11
13 january 1985,1985-01-13
3 sep 2001,2001-09-03
saturday march 21 2015,2015-03-21
wednesday february 18 2015,2015-02-18
7 feb 1974,1974-02-07
19 september 1971,1971-09-19
18 feb 1993,1993-02-18
oct 19 2017,2017-10-19
22.01.98,1998-01-22
monday april 18 1983,1983-04-18
saturday december 9 2000,2000-12-09
wednesday january 16 1980,1980-01-16
26.03.99,1999-03-26
tuesday may 28 2013,2013-05-28
wednesday april 2 2003,2003-04-02
friday february 21 2003,2003-02-21
8 january 1979,1979-01-08
jan 26 2018,2018-01-26
april 19 2009,2009-04-19
friday june 24 2016,2016-06-24
31 dec 2013,2013-12-31
23 november 1990,1990-11-23
wednesday december 19 1990,1990-12-19
4/6/71,1971-04-06
14 jul 1986,1986-07-14
jun 6 1978,1978-06-06
28.06.18,2018-06-28
wednesday march 4 1998,1998-03-04
6/24/04,2004-06-24
02.01.88,1988-01-02
25 august 1999,1999-08-25
monday december 5 2005,2005-12-05
sunday november 6 2005,2005-11-06
7 august 2004,2004-08-07
tuesday july 6 1993,1993-07-06
12 mar 1976,1976-03-12
01 oct 2016,2016-10-01
25.02.72,1972-02-25
25 august 1978,1978-08-25
15 january 2001,2001-01-15
wednesday january 1 2014,2014-01-01
10 june 2011,2011-06-10
tuesday january 6 1998,1998-01-06
friday august 14 2009,2009-08-14
tuesday january 26 2016,2016-01-26
9 february 2007,2007-02-09
tuesday september 24 2013,2013-09-24
25 may 1970,1970-05-25
december 8 1979,1979-12-08
saturday july 15 1989,1989-07-15
25 march 1979,1979-03-25
thursday june 15 1995,1995-06-15
1/30/80,1980-01-30
saturday april 26 2003,2003-04-26
7/23/08,2008-07-23
26.08.92,1992-08-26
9 aug 1973,1973-08-09
oct 15 1988,1988-10-15
tuesday april 10 1979,1979-04-10
thursday october 20 2005,2005-10-20
june 4 1977,1977-06-04
28 september 1994,1994-09-28
sunday june 20 1976,1976-06-20
16 may 1977,1977-05-16
monday june 6 1994,1994-06-06
9 04 88,1988-04-09
tuesday february 15 2005,2005-02-15
22 mar 2016,2016-03-22
friday march 17 1989,1989-03-17
10 march 2000,2000-03-10
04 may 1983,1983-05-04
february 26 1985,1985-02-26
thursday november 19 1998,1998-11-19
january 23 1977,1977-01-23
tuesday may 6 2008,2008-05-06
sunday march 30 1997,1997-03-30
wednesday december 4 1991,1991-12-04
4 may 2001,2001-05-04
21 jan 2001,2001-01-21
saturday november 30 1996,1996-11-30
